Polymer,Solvent,SD_EXP,Train_Error_0,Test_Error_0
PDMS,Hexane,41.41,0.03443863861059567,0.6935446149100746
PEBAX,Hexane,8.75,0.006024883211319364,0.1330898059293877
PAN,Hexane,0.17,0.0007518559905084374,0.018986231288079903
PES,Hexane,1.25,0.0007492351150795428,0.013673827034365198
PSf,Hexane,1.19,0.005469277551645745,0.12084311414420329
P84,Hexane,1.15,0.00014725113076155769,0.0006460899044445495
Matrimid,Hexane,3.57,0.0038511296513239826,0.07840778701405704
PEI,Hexane,0.83,0.0007116330828983181,0.015720371965422045
PDMS,Toluene,35.18,0.0205579454784879,0.33313646504800465
PAN,Toluene,2.25,0.0026264496764000097,0.05061023926711303
PES,Toluene,5.04,0.002784589047729722,0.07883994730261126
PSf,Toluene,17.61,0.02071695609406717,0.34618766129002043
P84,Toluene,3.29,0.002545905007002897,0.04023498016659075
Matrimid,Toluene,19.28,0.019768634389309297,0.32402638906277365
PEI,Toluene,4.13,0.0029992346011488377,0.046690417044532445
PTMSP,EA,16.91,0.012107543171328275,0.23871547772543095
PDMS,EA,26.91,0.013024825518016073,0.20989975674427913
PEBAX,EA,15.65,0.009651472092897554,0.1773243834364723
PAN,EA,0.27,0.0008048913986278707,0.02133908424177952
PES,EA,8.63,0.005362986117342409,0.1055001426166699
PSf,EA,9.2,0.0019291563682181472,0.0066725867944344985
P84,EA,4.0,0.002171721282416735,0.03063875595047634
Matrimid,EA,15.08,0.007131252396354833,0.0912259785604787
PEI,EA,6.15,0.004314797672791286,0.06493829002918705
PTMSP,MEK,18.07,0.01154494695880611,0.20141107955818585
PDMS,MEK,21.08,0.012371813854968891,0.22532910818927698
PEBAX,MEK,19.32,0.013595839942494303,0.2480168646850584
PAN,MEK,0.3,0.00024415388881295595,0.01130690405850679
PES,MEK,11.79,0.008889067035980977,0.13143010106866426
PSf,MEK,11.17,0.008939877377965292,0.14177428543421916
P84,MEK,5.43,0.0037921318882769514,0.05632217906450719
Matrimid,MEK,17.01,0.011843420944120534,0.17868961923074275
PEI,MEK,6.94,0.004674933726209317,0.06745457687171166
PTMSP,Acetone,12.92,0.002413286890467677,0.0331276532362873
PDMS,Acetone,9.28,0.0013559723550759007,0.021606060360769397
PEBAX,Acetone,12.98,0.0021557856485527696,0.01132709517224878
PAN,Acetone,0.27,0.00011430171292481188,0.003885900819170467
PES,Acetone,11.82,0.01114202280785733,0.17901822950930718
PSf,Acetone,7.61,0.0056210569951289325,0.08690202207426195
P84,Acetone,5.94,0.005333492269766982,0.08543332007322425
Matrimid,Acetone,15.58,0.013082421708836037,0.207559756030801
PEI,Acetone,7.17,0.0069218724150725,0.11205042542587203
PTMSP,IPA,27.51,0.02448604372686423,0.4466878548939814
PDMS,IPA,10.71,0.007466944683035381,0.13606886764890533
PEBAX,IPA,20.51,0.016588302648286573,0.29828099691472476
PAN,IPA,0.0,0.0007376552999088475,0.004801390283850054
PES,IPA,2.28,0.002658621806458976,0.055372521176765555
PSf,IPA,1.61,0.0018161344292616302,0.03653191654514326
P84,IPA,2.22,0.0007503598183493028,0.01517391830043674
Matrimid,IPA,5.22,0.0019262749552575499,0.038584856131126194
PEI,IPA,1.12,0.00182355591228832,0.036318041124333705
PTMSP,Ethanol,15.13,0.007550989673181158,0.13089191648476323
PDMS,Ethanol,3.6,0.0008095133818506415,0.01326289554748028
PEBAX,Ethanol,12.29,0.006679134868795807,0.12126493957621337
PAN,Ethanol,0.33,0.00019689317904130081,0.0040146567116845335
PES,Ethanol,2.76,0.0023053888869596826,0.045489947169324724
PSf,Ethanol,2.28,0.0020738708482885824,0.04021774391421952
P84,Ethanol,3.17,0.0030456815490356426,0.05688497369492964
Matrimid,Ethanol,6.3,0.005624801462163681,0.10560889173551967
PEI,Ethanol,1.25,0.000954057362150474,0.019549514516762595
PTMSP,Methanol,2.57,0.0026114287935163974,0.06187148860203127
PDMS,Methanol,0.4,8.420201940076595e-05,0.0007950460677333022
PEBAX,Methanol,11.47,0.01161591030654463,0.2745393335948231
PAN,Methanol,2.91,0.002665410662730438,0.061713401270063924
PES,Methanol,3.29,0.0037831273454243717,0.0794450859898259
PSf,Methanol,2.63,0.003024050307606741,0.06350382198302368
P84,Methanol,2.5,0.002874319149014744,0.060358465028525064
Matrimid,Methanol,8.01,0.009210720690995192,0.19342389965302498
PEI,Methanol,2.28,0.0026218038026839356,0.0550576208409844
PTMSP,Water,0.03,6.141266588854668e-06,6.65220669918273e-05
PDMS,Water,0.86,0.0007798256463271656,0.018145773413445254
PEBAX,Water,0.3,0.00026310760840053525,0.006078273896794932
PES,Water,0.56,0.0006390873629777277,0.013421261207508075
PSf,Water,0.96,0.0010968585706976383,0.023075028509258643
P84,Water,1.74,0.001996864493461563,0.041930638362723385
Matrimid,Water,0.99,0.001123979392788709,0.02362122988539368
PEI,Water,0.2,0.00022655025098154715,0.004760363883801365
