Polymer,Polymer_SMILES,T_K,P_Mpa,exp_CO2_sol_g_g,pred_CO2_sol_g_g,train/test,Augmented_SMILES
PBS,COCCCCOC(=O)CCC(C)=O,323.15,2.209,0.02063,0.02061,train,"['C(C(OCCCCOC)=O)CC(=O)C', 'C(CCCOC)OC(CCC(C)=O)=O', 'C(CCOC)COC(=O)CCC(C)=O', 'C(CCC(C)=O)(OCCCCOC)=O', 'O(C)CCCCOC(CCC(C)=O)=O']"
PBS,COCCCCOC(=O)CCC(C)=O,323.15,3.068,0.02826,0.02828,train,"['C(CCCOC(CCC(C)=O)=O)OC', 'C(CCCOC(=O)CCC(=O)C)OC', 'C(=O)(CCC(=O)C)OCCCCOC', 'O=C(CCC(OCCCCOC)=O)C', 'C(CC(C)=O)C(=O)OCCCCOC']"
PBS,COCCCCOC(=O)CCC(C)=O,323.15,4.245,0.03879,0.03877,train,"['C(CC(C)=O)C(=O)OCCCCOC', 'C(COC)CCOC(CCC(C)=O)=O', 'C(COC)CCOC(=O)CCC(=O)C', 'C(CCC(OCCCCOC)=O)(=O)C', 'C(COC(CCC(=O)C)=O)CCOC']"
PBS,COCCCCOC(=O)CCC(C)=O,323.15,6.272,0.05681,0.05677,train,"['COCCCCOC(CCC(C)=O)=O', 'C(COC(CCC(=O)C)=O)CCOC', 'C(OC)CCCOC(=O)CCC(=O)C', 'C(CCCOC(CCC(=O)C)=O)OC', 'C(CC(=O)C)C(=O)OCCCCOC']"
PBS,COCCCCOC(=O)CCC(C)=O,323.15,10.129,0.1076,0.10754,train,"['O=C(OCCCCOC)CCC(C)=O', 'O(CCCCOC)C(=O)CCC(=O)C', 'CC(=O)CCC(=O)OCCCCOC', 'COCCCCOC(CCC(=O)C)=O', 'O=C(OCCCCOC)CCC(=O)C']"
PBS,COCCCCOC(=O)CCC(C)=O,353.15,1.148,0.00876,0.00872,train,"['C(C(OCCCCOC)=O)CC(=O)C', 'C(COC)CCOC(=O)CCC(=O)C', 'O(C(=O)CCC(=O)C)CCCCOC', 'CC(CCC(OCCCCOC)=O)=O', 'O=C(OCCCCOC)CCC(C)=O']"
PBS,COCCCCOC(=O)CCC(C)=O,353.15,2.103,0.01523,0.01524,train,"['O(CCCCOC(CCC(=O)C)=O)C', 'O=C(CCC(=O)C)OCCCCOC', 'C(CCOC(=O)CCC(C)=O)COC', 'C(CC(=O)OCCCCOC)C(C)=O', 'O(CCCCOC)C(=O)CCC(C)=O']"
PBS,COCCCCOC(=O)CCC(C)=O,353.15,3.158,0.02243,0.02237,train,"['C(C)(CCC(OCCCCOC)=O)=O', 'C(OCCCCOC)(CCC(=O)C)=O', 'O=C(C)CCC(=O)OCCCCOC', 'C(COC)CCOC(=O)CCC(C)=O', 'O=C(OCCCCOC)CCC(C)=O']"
PBS,COCCCCOC(=O)CCC(C)=O,353.15,4.218,0.02961,0.02964,train,"['C(CCC(C)=O)(=O)OCCCCOC', 'C(COC)CCOC(=O)CCC(=O)C', 'C(CC(OCCCCOC)=O)C(=O)C', 'C(C(=O)C)CC(=O)OCCCCOC', 'O=C(CCC(C)=O)OCCCCOC']"
PBS,COCCCCOC(=O)CCC(C)=O,353.15,6.169,0.04332,0.04339,train,"['C(OCCCCOC)(CCC(=O)C)=O', 'O(C)CCCCOC(CCC(=O)C)=O', 'C(CCOC)COC(CCC(=O)C)=O', 'C(C(C)=O)CC(=O)OCCCCOC', 'O(C(CCC(C)=O)=O)CCCCOC']"
PBS,COCCCCOC(=O)CCC(C)=O,353.15,8.05,0.05601,0.05597,train,"['O(C(CCC(C)=O)=O)CCCCOC', 'CC(=O)CCC(OCCCCOC)=O', 'O(CCCCOC(CCC(=O)C)=O)C', 'CC(CCC(=O)OCCCCOC)=O', 'C(C(OCCCCOC)=O)CC(C)=O']"
PBS,COCCCCOC(=O)CCC(C)=O,393.15,4.141,0.03776,0.03776,train,"['C(=O)(CCC(OCCCCOC)=O)C', 'C(CCC(=O)OCCCCOC)(=O)C', 'C(CC(=O)C)C(OCCCCOC)=O', 'O=C(CCC(C)=O)OCCCCOC', 'O=C(OCCCCOC)CCC(C)=O']"
PBS,COCCCCOC(=O)CCC(C)=O,393.15,8.076,0.07357,0.07352,train,"['O(C)CCCCOC(CCC(=O)C)=O', 'O(C(CCC(C)=O)=O)CCCCOC', 'C(COC(CCC(=O)C)=O)CCOC', 'O=C(OCCCCOC)CCC(=O)C', 'C(=O)(OCCCCOC)CCC(C)=O']"
PBS,COCCCCOC(=O)CCC(C)=O,393.15,8.928,0.0813,0.08138,train,"['C(=O)(OCCCCOC)CCC(=O)C', 'O=C(C)CCC(=O)OCCCCOC', 'O(C(CCC(C)=O)=O)CCCCOC', 'O=C(CCC(OCCCCOC)=O)C', 'O=C(C)CCC(OCCCCOC)=O']"
PBS,COCCCCOC(=O)CCC(C)=O,393.15,12.076,0.1098,0.10978,train,"['C(C)(=O)CCC(OCCCCOC)=O', 'O(CCCCOC(CCC(=O)C)=O)C', 'O(CCCCOC(=O)CCC(=O)C)C', 'C(OC(CCC(=O)C)=O)CCCOC', 'C(COC(=O)CCC(=O)C)CCOC']"
PBS,COCCCCOC(=O)CCC(C)=O,393.15,16.544,0.1481,0.14815,train,"['C(OC(CCC(=O)C)=O)CCCOC', 'O=C(CCC(OCCCCOC)=O)C', 'C(CCCOC)OC(=O)CCC(C)=O', 'O(CCCCOC(=O)CCC(C)=O)C', 'C(CCCOC(=O)CCC(=O)C)OC']"
