Unnamed: 0,smiles,property,value,Polymer_BRICS
822,[*]C[*],Egc,6.8972,['C']
823,[*]CC([*])C,Egc,6.5196,['CCC']
824,[*]CC([*])CC,Egc,6.517,['CCCC']
825,[*]CC([*])CCC,Egc,6.7336,['CCCCC']
826,[*]CC([*])CC(C)C,Egc,6.7394,['CCCC(C)C']
827,[*]CC1CCC([*])C1,Egc,6.9613,"['C', 'C1CCCC1']"
828,[*]CC([*])CCCC1CCCCC1,Egc,6.3703,"['C1CCCCC1', 'CCCCC']"
829,[*]C=CCCC[*],Egc,4.6373,['C=CCCC']
830,[*]C=CCC[*],Egc,5.2133,['C=CCC']
831,[*]C=C[*],Egc,1.3994,['C=C']
832,[*]CCC(C)C([*])C,Egc,6.6781,['CCC(C)CC']
833,[*]C=CCCCCCCCC[*],Egc,5.8277,['C=CCCCCCCCC']
834,[*]C=CCCCCCCCCCC[*],Egc,5.8787,['C=CCCCCCCCCCC']
835,[*]C=CCCCCCC[*],Egc,5.8437,['C=CCCCCCC']
836,[*]C=CCCCC[*],Egc,5.7726,['C=CCCCC']
837,[*]C1CCC1[*],Egc,6.0897,['C1CCC1']
838,[*]C=CCCCCC[*],Egc,5.8026,['C=CCCCCC']
839,[*]C=CC1CCC([*])C1,Egc,5.4117,['C=CC1CCCC1']
840,[*]C=CC(C[*])C(C)CC,Egc,4.9643,['C=CC(C)C(C)CC']
841,[*]CC1([*])CCCCC1,Egc,6.3291,"['C', 'C1CCCCC1']"
842,[*]CC([*])c1ccccc1C(=O)OC,Egc,5.0713,"['CO', 'C=O', 'CC', 'c1ccccc1']"
843,[*]CC([*])c1ccccc1Cl,Egc,2.4139,"['CC', 'Clc1ccccc1']"
844,[*]CC([*])c1cccc(C)c1,Egc,5.185,"['CC', 'Cc1ccccc1']"
845,[*]CC([*])c1ccc(CCCCCC)cc1,Egc,4.9872,"['CC', 'CCCCCC', 'c1ccccc1']"
846,[*]CC([*])c1ccc(CCCCCCCCCCCCCCCC)cc1,Egc,5.0097,"['CC', 'CCCCCCCCCCCCCCCC', 'c1ccccc1']"
847,[*]CC([*])c1ccc(C(O)CCN2CCOCC2)cc1,Egc,3.8601,"['C1COCCN1', 'CCCO', 'CC', 'c1ccccc1']"
848,[*]CC([*])c1ccc(C(=O)CCN2CCCCC2)cc1,Egc,2.7084,"['C1CCNCC1', 'CCC=O', 'CC', 'c1ccccc1']"
849,[*]CC([*])c1ccc(C(=O)OCC(C)C)cc1,Egc,4.9663,"['O', 'CC(C)C', 'C=O', 'CC', 'c1ccccc1']"
850,[*]CC([*])c1ccc(C(=O)OCCCCCC)cc1,Egc,4.7078,"['O', 'CCCCCC', 'C=O', 'CC', 'c1ccccc1']"
851,[*]CC([*])c1ccc(C(=O)Cc2ccccc2)cc1,Egc,3.6382,"['CC=O', 'c1ccccc1', 'CC', 'c1ccccc1']"
852,[*]CC([*])c1ccc(C(=O)c2ccccc2)cc1,Egc,3.5289,"['c1ccccc1', 'C=O', 'CC', 'c1ccccc1']"
853,[*]CC([*])c1ccc(F)cc1,Egc,2.0489,"['CC', 'Fc1ccccc1']"
854,[*]CC([*])c1ccc(C)cc1C,Egc,4.8585,"['CC', 'Cc1cccc(C)c1']"
855,[*]CC([*])c1cc(C)ccc1C,Egc,4.9137,"['CC', 'Cc1ccc(C)cc1']"
856,[*]CC([*])c1cc(Cl)ccc1Cl,Egc,2.6378,"['CC', 'Clc1ccc(Cl)cc1']"
857,[*]CC([*])c1cc(C)ccc1F,Egc,4.5949,"['CC', 'Cc1ccc(F)cc1']"
858,[*]CC([*])c1cc(Br)ccc1OCCCC,Egc,4.5078,"['CCCC', 'O', 'CC', 'Brc1ccccc1']"
859,[*]CC([*])c1cc(Br)ccc1OCC,Egc,4.458,"['CC', 'O', 'CC', 'Brc1ccccc1']"
860,[*]CC([*])c1cc(Br)ccc1OC(C)C,Egc,4.6199,"['CCC', 'O', 'CC', 'Brc1ccccc1']"
861,[*]CC([*])c1ccc(C)c(C)c1,Egc,4.4861,"['CC', 'Cc1ccccc1C']"
862,[*]CC([*])c1ccc(Cl)c(C)c1,Egc,4.762,"['CC', 'Cc1ccccc1Cl']"
863,[*]CC([*])c1ccc(Cl)c(Cl)c1,Egc,2.3069,"['CC', 'Clc1ccccc1Cl']"
864,[*]C(F)(F)C([*])(F)c1ccccc1,Egc,5.6014,"['c1ccccc1', 'FCC(F)F']"
865,[*]CC([*])c1ccc(C(=O)CCN2CCOCC2)cc1,Egc,3.2629,"['C1COCCN1', 'CCC=O', 'CC', 'c1ccccc1']"
866,[*]CC([*])c1ccc2ccccc2c1,Egc,3.6351,"['CC', 'c1ccc2ccccc2c1']"
867,[*]CC([*])c1ccncc1,Egc,2.5368,"['CC', 'c1ccncc1']"
868,[*]CC([*])c1cccc(C)n1,Egc,5.0497,"['CC', 'Cc1ccccn1']"
869,[*]CC([*])c1ccc(C)nc1,Egc,4.8601,"['CC', 'Cc1ccccn1']"
870,[*]CC([*])n1cc2ccccc2n1,Egc,3.7572,"['CC', 'c1ccc2nncc2c1']"
871,[*]CC(CC([*])(C#N)C(=O)OC)c1ccccc1,Egc,5.5884,"['CO', 'c1ccccc1', 'CCCC(C#N)C=O']"
872,[*]CC([*])O,Egc,6.3648,['CCO']
873,[*]CC([*])C#N,Egc,7.7741,['CCC#N']
874,[*]CC([*])(C)C#N,Egc,7.6319,['CC(C)C#N']
875,[*]CC([*])n1c2ccccc2c2ccccc21,Egc,4.0449,"['CC', 'c1ccc2c(c1)nc1ccccc12']"
876,[*]CC([*])OC,Egc,5.5335,"['CO', 'CC']"
877,[*]CC([*])OCCCCC,Egc,5.9056,"['CC', 'CCCCC', 'O']"
878,[*]CC([*])OC(C)=O,Egc,6.8523,"['CC=O', 'O', 'CC']"
879,[*]CC([*])OC(=O)CC,Egc,6.5454,"['CCC=O', 'O', 'CC']"
880,[*]CC([*])OC=O,Egc,6.9603,"['O=CO', 'CC']"
881,[*]CC([*])OCc1ccccc1,Egc,5.0639,"['CC', 'O', 'C', 'c1ccccc1']"
882,[*]CC([*])OC(=O)C(F)(F)F,Egc,6.7842,"['O=CC(F)(F)F', 'O', 'CC']"
883,[*]C=CC(C[*])OC,Egc,5.0501,"['CO', 'C=CCC']"
884,[*]C=CCC(C)(CC[*])C(=O)OC,Egc,5.4945,"['CO', 'C=CCC(C)(C=O)CC']"
885,[*]CC([*])CCc1ccc(C)cc1,Egc,5.1686,"['CCCC', 'Cc1ccccc1']"
886,[*]CC([*])OCCCCCCCCCCCC,Egc,5.4919,"['CC', 'CCCCCCCCCCCC', 'O']"
887,[*]C(C)C([*])OC,Egc,5.326,"['CO', 'CCC']"
888,[*]C1CC([*])(C#N)C1,Egc,6.8104,['N#CC1CCC1']
