Unnamed: 0,smiles,property,value,smiles_no_dummy,selfies,BigSMILES
822,[*]C[*],Egc,6.8972,CCC,[C][C][C],C
823,[*]CC([*])C,Egc,6.5196,CCC(C)C,[C][C][C][Branch1][C][C][C],{[][<]*C[>][<]}{[>][<]*CC[>][]}
824,[*]CC([*])CC,Egc,6.517,CCC(C)CC,[C][C][C][Branch1][C][C][C][C],{[][<]*C[>][<]}{[>][<]*CCC[>][]}
825,[*]CC([*])CCC,Egc,6.7336,CCC(C)CCC,[C][C][C][Branch1][C][C][C][C][C],{[][<]*C[>][<]}{[>][<]*CCCC[>][]}
826,[*]CC([*])CC(C)C,Egc,6.7394,CCC(C)CC(C)C,[C][C][C][Branch1][C][C][C][C][Branch1][C][C][C],{[][<]*C[>][<]}{[>][<]*CCC(C)C[>][]}
827,[*]CC1CCC([*])C1,Egc,6.9613,CCC1CCC(C)C1,[C][C][C][C][C][C][Branch1][C][C][C][Ring1][=Branch1],{[][<]*C[>][<]}{[>][<]*C1CCCC1[>][]}
828,[*]CC([*])CCCC1CCCCC1,Egc,6.3703,CCC(C)CCCC1CCCCC1,[C][C][C][Branch1][C][C][C][C][C][C][C][C][C][C][C][Ring1][=Branch1],{[][<]*C[>][<]}{[>][<]*CCCCC1CCCCC1[>][]}
829,[*]C=CCCC[*],Egc,4.6373,CC=CCCCC,[C][C][=C][C][C][C][C],{[][<]*C[>][<]}{[>][<]C[>][<]}{[>][<]C[>][<]}{[>][<]C[>][<]}{[>][<]*C[>][]}
830,[*]C=CCC[*],Egc,5.2133,CC=CCCC,[C][C][=C][C][C][C],{[][<]*C[>][<]}{[>][<]C[>][<]}{[>][<]C[>][<]}{[>][<]*C[>][]}
831,[*]C=C[*],Egc,1.3994,CC=CC,[C][C][=C][C],{[][<]*C[>][<]}{[>][<]*C[>][]}
832,[*]CCC(C)C([*])C,Egc,6.6781,CCCC(C)C(C)C,[C][C][C][C][Branch1][C][C][C][Branch1][C][C][C],{[][<]*C[>][<]}{[>][<]C[>][<]}{[>][<]CC[>][<]}{[>][<]*CC[>][]}
833,[*]C=CCCCCCCCC[*],Egc,5.8277,CC=CCCCCCCCCC,[C][C][=C][C][C][C][C][C][C][C][C][C],{[][<]*C[>][<]}{[>][<]C[>][<]}{[>][<]C[>][<]}{[>][<]C[>][<]}{[>][<]C[>][<]}{[>][<]C[>][<]}{[>][<]C[>][<]}{[>][<]C[>][<]}{[>][<]C[>][<]}{[>][<]*C[>][]}
834,[*]C=CCCCCCCCCCC[*],Egc,5.8787,CC=CCCCCCCCCCCC,[C][C][=C][C][C][C][C][C][C][C][C][C][C][C],{[][<]*C[>][<]}{[>][<]C[>][<]}{[>][<]C[>][<]}{[>][<]C[>][<]}{[>][<]C[>][<]}{[>][<]C[>][<]}{[>][<]C[>][<]}{[>][<]C[>][<]}{[>][<]C[>][<]}{[>][<]C[>][<]}{[>][<]C[>][<]}{[>][<]*C[>][]}
835,[*]C=CCCCCCC[*],Egc,5.8437,CC=CCCCCCCC,[C][C][=C][C][C][C][C][C][C][C],{[][<]*C[>][<]}{[>][<]C[>][<]}{[>][<]C[>][<]}{[>][<]C[>][<]}{[>][<]C[>][<]}{[>][<]C[>][<]}{[>][<]C[>][<]}{[>][<]*C[>][]}
836,[*]C=CCCCC[*],Egc,5.7726,CC=CCCCCC,[C][C][=C][C][C][C][C][C],{[][<]*C[>][<]}{[>][<]C[>][<]}{[>][<]C[>][<]}{[>][<]C[>][<]}{[>][<]C[>][<]}{[>][<]*C[>][]}
837,[*]C1CCC1[*],Egc,6.0897,CC1CCC1C,[C][C][C][C][C][Ring1][Ring2][C],C1CCC1
838,[*]C=CCCCCC[*],Egc,5.8026,CC=CCCCCCC,[C][C][=C][C][C][C][C][C][C],{[][<]*C[>][<]}{[>][<]C[>][<]}{[>][<]C[>][<]}{[>][<]C[>][<]}{[>][<]C[>][<]}{[>][<]C[>][<]}{[>][<]*C[>][]}
839,[*]C=CC1CCC([*])C1,Egc,5.4117,CC=CC1CCC(C)C1,[C][C][=C][C][C][C][C][Branch1][C][C][C][Ring1][=Branch1],{[][<]*C[>][<]}{[>][<]C[>][<]}{[>][<]*C1CCCC1[>][]}
840,[*]C=CC(C[*])C(C)CC,Egc,4.9643,CC=CC(CC)C(C)CC,[C][C][=C][C][Branch1][Ring1][C][C][C][Branch1][C][C][C][C],{[][<]*C[>][<]}{[>][<]C[>][<]}{[>][<]CCC(C)C[>][<]}{[>][<]*C[>][]}
841,[*]CC1([*])CCCCC1,Egc,6.3291,CCC1(C)CCCCC1,[C][C][C][Branch1][C][C][C][C][C][C][C][Ring1][#Branch1],{[][<]*C[>][<]}{[>][<]*C1CCCCC1[>][]}
842,[*]CC([*])c1ccccc1C(=O)OC,Egc,5.0713,CCC(C)c1ccccc1C(=O)OC,[C][C][C][Branch1][C][C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][O][C],{[][<]*C[>][<]}{[>][<]*Cc1ccccc1C(=O)OC[>][]}
844,[*]CC([*])c1cccc(C)c1,Egc,5.185,CCC(C)c1cccc(C)c1,[C][C][C][Branch1][C][C][C][=C][C][=C][C][Branch1][C][C][=C][Ring1][#Branch1],{[][<]*C[>][<]}{[>][<]*Cc1cccc(C)c1[>][]}
845,[*]CC([*])c1ccc(CCCCCC)cc1,Egc,4.9872,CCC(C)c1ccc(CCCCCC)cc1,[C][C][C][Branch1][C][C][C][=C][C][=C][Branch1][#Branch1][C][C][C][C][C][C][C][=C][Ring1][N],{[][<]*C[>][<]}{[>][<]*Cc1ccc(CCCCCC)cc1[>][]}
846,[*]CC([*])c1ccc(CCCCCCCCCCCCCCCC)cc1,Egc,5.0097,CCC(C)c1ccc(CCCCCCCCCCCCCCCC)cc1,[C][C][C][Branch1][C][C][C][=C][C][=C][Branch1][P][C][C][C][C][C][C][C][C][C][C][C][C][C][C][C][C][C][=C][Ring2][Ring1][=Branch1],{[][<]*C[>][<]}{[>][<]*Cc1ccc(CCCCCCCCCCCCCCCC)cc1[>][]}
847,[*]CC([*])c1ccc(C(O)CCN2CCOCC2)cc1,Egc,3.8601,CCC(C)c1ccc(C(O)CCN2CCOCC2)cc1,[C][C][C][Branch1][C][C][C][=C][C][=C][Branch1][#C][C][Branch1][C][O][C][C][N][C][C][O][C][C][Ring1][=Branch1][C][=C][Ring1][S],{[][<]*C[>][<]}{[>][<]*Cc1ccc(C(O)CCN2CCOCC2)cc1[>][]}
849,[*]CC([*])c1ccc(C(=O)OCC(C)C)cc1,Egc,4.9663,CCC(C)c1ccc(C(=O)OCC(C)C)cc1,[C][C][C][Branch1][C][C][C][=C][C][=C][Branch1][N][C][=Branch1][C][=O][O][C][C][Branch1][C][C][C][C][=C][Ring1][=N],{[][<]*C[>][<]}{[>][<]*Cc1ccc(C(=O)OCC(C)C)cc1[>][]}
