Unnamed: 0,smiles,property,value,polymer_automated_frag,polymer_automated_frag_aug
822,[*]C[*],Egc,6.8972,['C'],[['C']]
823,[*]CC([*])C,Egc,6.5196,"['C', 'CC']","[['C', 'CC'], ['CC', 'C']]"
824,[*]CC([*])CC,Egc,6.517,"['C', 'CCC']","[['C', 'CCC'], ['CCC', 'C']]"
825,[*]CC([*])CCC,Egc,6.7336,"['C', 'CCCC']","[['C', 'CCCC'], ['CCCC', 'C']]"
826,[*]CC([*])CC(C)C,Egc,6.7394,"['C', 'CCC(C)C']","[['C', 'CCC(C)C'], ['CCC(C)C', 'C']]"
827,[*]CC1CCC([*])C1,Egc,6.9613,"['C', 'C1CCCC1']","[['C', 'C1CCCC1'], ['C1CCCC1', 'C']]"
829,[*]C=CCCC[*],Egc,4.6373,"['C', 'C', 'C', 'C', 'C']","[['C', 'C', 'C', 'C', 'C'], ['C', 'C', 'C', 'C', 'C'], ['C', 'C', 'C', 'C', 'C'], ['C', 'C', 'C', 'C', 'C'], ['C', 'C', 'C', 'C', 'C']]"
832,[*]CCC(C)C([*])C,Egc,6.6781,"['C', 'C', 'CC', 'CC']","[['C', 'C', 'CC', 'CC'], ['CC', 'C', 'C', 'CC'], ['CC', 'CC', 'C', 'C'], ['C', 'CC', 'CC', 'C']]"
833,[*]C=CCCCCCCCC[*],Egc,5.8277,"['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","[['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C'], ['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C'], ['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C'], ['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C'], ['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C'], ['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C'], ['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C'], ['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C'], ['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C'], ['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']]"
834,[*]C=CCCCCCCCCCC[*],Egc,5.8787,"['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","[['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C'], ['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C'], ['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C'], ['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C'], ['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C'], ['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C'], ['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C'], ['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C'], ['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C'], ['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C'], ['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C'], ['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']]"
836,[*]C=CCCCC[*],Egc,5.7726,"['C', 'C', 'C', 'C', 'C', 'C']","[['C', 'C', 'C', 'C', 'C', 'C'], ['C', 'C', 'C', 'C', 'C', 'C'], ['C', 'C', 'C', 'C', 'C', 'C'], ['C', 'C', 'C', 'C', 'C', 'C'], ['C', 'C', 'C', 'C', 'C', 'C'], ['C', 'C', 'C', 'C', 'C', 'C']]"
838,[*]C=CCCCCC[*],Egc,5.8026,"['C', 'C', 'C', 'C', 'C', 'C', 'C']","[['C', 'C', 'C', 'C', 'C', 'C', 'C'], ['C', 'C', 'C', 'C', 'C', 'C', 'C'], ['C', 'C', 'C', 'C', 'C', 'C', 'C'], ['C', 'C', 'C', 'C', 'C', 'C', 'C'], ['C', 'C', 'C', 'C', 'C', 'C', 'C'], ['C', 'C', 'C', 'C', 'C', 'C', 'C'], ['C', 'C', 'C', 'C', 'C', 'C', 'C']]"
839,[*]C=CC1CCC([*])C1,Egc,5.4117,"['C', 'C', 'C1CCCC1']","[['C', 'C', 'C1CCCC1'], ['C1CCCC1', 'C', 'C'], ['C', 'C1CCCC1', 'C']]"
840,[*]C=CC(C[*])C(C)CC,Egc,4.9643,"['C', 'C', 'CCC(C)C', 'C']","[['C', 'C', 'CCC(C)C', 'C'], ['C', 'C', 'C', 'CCC(C)C'], ['CCC(C)C', 'C', 'C', 'C'], ['C', 'CCC(C)C', 'C', 'C']]"
841,[*]CC1([*])CCCCC1,Egc,6.3291,"['C', 'C1CCCCC1']","[['C', 'C1CCCCC1'], ['C1CCCCC1', 'C']]"
