Unnamed: 0,smiles,property,value,polymer_automated_frag,polymer_automated_frag_aug
0,[*]CC([*])C,Eat,-5.14,C,"[['C', 'CC'], ['CC', 'C']]"
1,[*]CC([*])F,Eat,-5.18,C,"[['C', 'CF'], ['CF', 'C']]"
2,[*]CC([*])(F)F,Eat,-5.21,C,"[['C', 'C(F)F'], ['C(F)F', 'C']]"
3,[*]C(F)C([*])(F)F,Eat,-5.11,CF,"[['CF', 'C(F)F'], ['C(F)F', 'CF']]"
4,[*]CCC(F)(F)C([*])(F)F,Eat,-5.21,C,"[['C', 'C', 'FCF', 'C(F)F'], ['C(F)F', 'C', 'C', 'FCF'], ['FCF', 'C(F)F', 'C', 'C'], ['C', 'FCF', 'C(F)F', 'C']]"
5,[*]CO[*],Eat,-5.32,C,"[['C', 'O'], ['O', 'C']]"
6,[*]CCO[*],Eat,-5.21,C,"[['C', 'C', 'O'], ['O', 'C', 'C'], ['C', 'O', 'C']]"
7,[*]CC(O[*])C(F)(F)F,Eat,-5.24,C,"[['C', 'CC(F)(F)F', 'O'], ['O', 'C', 'CC(F)(F)F'], ['CC(F)(F)F', 'O', 'C']]"
8,[*]CCCO[*],Eat,-5.2,C,"[['C', 'C', 'C', 'O'], ['O', 'C', 'C', 'C'], ['C', 'O', 'C', 'C'], ['C', 'C', 'O', 'C']]"
9,[*]Oc1ccc(Cc2ccc([*])cc2)cc1,Eat,-6.18,O,"[['O', 'c1ccccc1', 'C', 'c1ccccc1'], ['c1ccccc1', 'O', 'c1ccccc1', 'C'], ['C', 'c1ccccc1', 'O', 'c1ccccc1'], ['c1ccccc1', 'C', 'c1ccccc1', 'O']]"
10,[*]CCCCCOCO[*],Eat,-5.2,C,"[['C', 'C', 'C', 'C', 'C', 'O', 'C', 'O'], ['O', 'C', 'C', 'C', 'C', 'C', 'O', 'C'], ['C', 'O', 'C', 'C', 'C', 'C', 'C', 'O'], ['O', 'C', 'O', 'C', 'C', 'C', 'C', 'C'], ['C', 'O', 'C', 'O', 'C', 'C', 'C', 'C'], ['C', 'C', 'O', 'C', 'O', 'C', 'C', 'C'], ['C', 'C', 'C', 'O', 'C', 'O', 'C', 'C'], ['C', 'C', 'C', 'C', 'O', 'C', 'O', 'C']]"
