Index,Polymer,Contact_angle,Thickness_um,Solvent,Solvent_solubility_parameter_Mpa_sqrt,xw_wt_percent,Temp_C,Permeate_pressure_mbar,J_Total_flux_kg_m_2h_1,a_Separation_factor_wo,Sum_of_frags
1,chitosan,55.1,40,ipa,23.5,5,30,13.3,0.0378,606.617647,"[2, 2, 11, 0, 5, 0, 2, 0, 0, 0, 4, 0, 0, 0, 0]"
2,chitosan,55.1,40,ipa,23.5,10,30,13.3,0.0523,257.352941,"[2, 2, 11, 0, 5, 0, 2, 0, 0, 0, 4, 0, 0, 0, 0]"
3,chitosan,55.1,40,ipa,23.5,15,30,13.3,0.0894,122.54902,"[2, 2, 11, 0, 5, 0, 2, 0, 0, 0, 4, 0, 0, 0, 0]"
4,chitosan,55.1,40,ipa,23.5,20,30,13.3,0.17,73.529412,"[2, 2, 11, 0, 5, 0, 2, 0, 0, 0, 4, 0, 0, 0, 0]"
5,chitosan,55.1,40,ipa,23.5,25,30,13.3,0.1984,49.019608,"[2, 2, 11, 0, 5, 0, 2, 0, 0, 0, 4, 0, 0, 0, 0]"
6,pdms,104,12,n-butanol,23.1,99,40,3,0.4364,0.028205,"[3, 3, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0]"
7,pdms,104,12,n-butanol,23.1,95,40,3,0.9849,0.028701,"[3, 3, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0]"
8,pdms,104,12,n-butanol,23.1,99,80,3,1.1455,0.028871,"[3, 3, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0]"
9,peba,89,100,ipa,23.5,60,30,6.7,1.2722,0.472727187,"[3, 14, 1, 3, 1, 0, 0, 1, 0, 0, 3, 0, 0, 0, 0]"
10,peba,89,100,ipa,23.5,70,30,6.7,0.769,0.371428529,"[3, 14, 1, 3, 1, 0, 0, 1, 0, 0, 3, 0, 0, 0, 0]"
11,peba,89,100,ipa,23.5,80,30,6.7,0.5411,0.305882331,"[3, 14, 1, 3, 1, 0, 0, 1, 0, 0, 3, 0, 0, 0, 0]"
12,peba,89,100,ipa,23.5,90,30,6.7,0.2848,0.283636366,"[3, 14, 1, 3, 1, 0, 0, 1, 0, 0, 3, 0, 0, 0, 0]"
13,peba,89,100,ipa,23.5,90,40,6.7,0.6345,0.220987638,"[3, 14, 1, 3, 1, 0, 0, 1, 0, 0, 3, 0, 0, 0, 0]"
14,peba,89,100,ipa,23.5,90,50,6.7,1.1139,0.218292663,"[3, 14, 1, 3, 1, 0, 0, 1, 0, 0, 3, 0, 0, 0, 0]"
15,peba,89,100,ipa,23.5,90,60,6.7,1.7387,0.192473108,"[3, 14, 1, 3, 1, 0, 0, 1, 0, 0, 3, 0, 0, 0, 0]"
16,pbo,82,24.24,n-butanol,23.1,15,25,1,0.0201,1569.666667,"[1, 3, 0, 0, 1, 3, 0, 0, 2, 4, 0, 0, 0, 0, 2]"
17,pbo,82,24.24,ipa,23.5,15,25,1,0.0245,1569.666667,"[2, 0, 1, 0, 1, 3, 0, 0, 2, 4, 0, 0, 0, 0, 2]"
18,pbo,82,24.24,ethanol,26.5,5,25,1,0.0324,77.917431,"[1, 1, 0, 0, 1, 3, 0, 0, 2, 4, 0, 0, 0, 0, 2]"
19,pbo,82,24.24,n-butanol,23.1,15,25,1,0.0331,1044.555556,"[1, 3, 0, 0, 1, 3, 0, 0, 2, 4, 0, 0, 0, 0, 2]"
