Dataset,num_of_folds,Features,Targets,Model,r_mean,r_std,r2_mean,r2_std,rmse_mean,rmse_std,mae_mean,mae_std,num_of_data,feature_length,Target,fold,r,r2,rmse,mae
PV_Wang,6,manual_frag_aug,J_Total_flux_kg_m_2h_1,BRT,0.912019462,0.045683863,0.833866515,0.082022642,0.444785478,0.112017661,0.199811474,0.024224521,1526,16,J_Total_flux_kg_m_2h_1,,,,,
PV_Wang,6,Augmented_SMILES,J_Total_flux_kg_m_2h_1,RF,0.909920314,0.032059284,0.828982775,0.058577875,0.464169098,0.077907959,0.219716582,0.028030573,2738,110,J_Total_flux_kg_m_2h_1,,,,,
PV_Wang,6,Augmented_SMILES,J_Total_flux_kg_m_2h_1,BRT,0.909248977,0.037284357,0.828123826,0.066657869,0.469097609,0.109144268,0.24453754,0.056465546,2738,110,J_Total_flux_kg_m_2h_1,,,,,
PV_Wang,6,fingerprint,J_Total_flux_kg_m_2h_1,BRT,0.90214674,0.051265135,0.816496855,0.088786333,0.484511504,0.126031207,0.239732287,0.04005183,681,,J_Total_flux_kg_m_2h_1,,,,,
PV_Wang,6,manual_frag,J_Total_flux_kg_m_2h_1,BRT,0.902825876,0.036440672,0.816422486,0.065823629,0.473188696,0.082546118,0.227865678,0.015538308,681,,J_Total_flux_kg_m_2h_1,,,,,
PV_Wang,6,BigSMILES,J_Total_flux_kg_m_2h_1,BRT,0.902283295,0.046907233,0.816315433,0.083503419,0.47156086,0.11433975,0.232136328,0.033637892,681,,J_Total_flux_kg_m_2h_1,,,,,
PV_Wang,6,manual_recombined_aug_SMILES,J_Total_flux_kg_m_2h_1,BRT,0.911245459,0.040470241,0.810943273,0.067482058,0.450919564,0.102465993,0.212335602,0.031723492,922,105,J_Total_flux_kg_m_2h_1,,,,,
PV_Wang,6,fingerprint,J_Total_flux_kg_m_2h_1,NN,0.899664479,0.035960258,0.810689315,0.063794899,0.472205791,0.104051309,0.220589183,0.032213884,681,518,J_Total_flux_kg_m_2h_1,,,,,
PV_Wang,6,manual_frag_aug_SMILES,J_Total_flux_kg_m_2h_1,BRT,0.907346937,0.053885249,0.796350508,0.095244435,0.459070523,0.140302488,0.234748669,0.057626778,1526,91,J_Total_flux_kg_m_2h_1,,,,,
PV_Wang,6,SMILES,J_Total_flux_kg_m_2h_1,BRT,0.889347839,0.054179731,0.793875022,0.095408561,0.500499549,0.118124449,0.261311427,0.06058867,681,,J_Total_flux_kg_m_2h_1,,,,,
PV_Wang,6,BigSMILES,J_Total_flux_kg_m_2h_1,RF,0.88854329,0.050214507,0.792030675,0.088092646,0.519564328,0.120376831,0.249957463,0.033279383,681,,J_Total_flux_kg_m_2h_1,,,,,
PV_Wang,6,manual_recombined_aug_fingerprint,J_Total_flux_kg_m_2h_1,BRT,0.909324701,0.033750503,0.791186695,0.071300431,0.475293578,0.101693054,0.228904016,0.053921903,922,518,J_Total_flux_kg_m_2h_1,,,,,
PV_Wang,6,fingerprint,J_Total_flux_kg_m_2h_1,RF,0.887897988,0.052405543,0.791109178,0.090355226,0.518805921,0.128561295,0.248544358,0.042438986,681,,J_Total_flux_kg_m_2h_1,,,,,
PV_Wang,6,manual_frag,J_Total_flux_kg_m_2h_1,RF,0.881643031,0.053883272,0.78019784,0.092962165,0.532446622,0.135517397,0.254828792,0.047199623,681,,J_Total_flux_kg_m_2h_1,,,,,
PV_Wang,6,manual_frag_SMILES,J_Total_flux_kg_m_2h_1,BRT,0.893570575,0.048653167,0.773613075,0.070057673,0.501815388,0.123645736,0.250071785,0.042463734,681,91,J_Total_flux_kg_m_2h_1,,,,,
PV_Wang,6,SMILES,J_Total_flux_kg_m_2h_1,RF,0.875634711,0.058265741,0.770131043,0.099171032,0.546322166,0.137872012,0.263569652,0.043416701,681,,J_Total_flux_kg_m_2h_1,,,,,
